NOUN,PROPN,PRON,VERB,AUX,ADJ,ADV,ADP,DET,CCONJ,PART,NUM,INTJ,X,PUNCT,SYM
n.count,n.prop,p.indef,v.fut,v.aux,adj,adv.dir,case.all,d.dem,case.ass,case.comp,num.card,interj,skt,punc,
n.mass,,p.pers,v.past,v.cop,,adv.intense,case.loc,,cl.focus,case.nare,num.ord,,,,
n.v.aux,,p.refl,v.pres,v.cop.neg,,adv.mim,cv.all,,,case.term,,,,,
n.v.cop,,,v.imp,v.neg,,adv.proclausal,cv.loc,,,cl.quot,,,,,
n.v.fut,,,v.fut.v.past,,,adv.temp,cv.term,,,cv.fin,,,,,
n.v.fut.n.v.past,,,v.fut.v.pres,,,,case.gen,,,cv.imp,,,,,
n.v.fut.n.v.pres,,,v.invar,,,,cv.cont,,,cv.impf,,,,,
n.v.imp,,,v.past.v.pres,,,,cv.gen,,,cv.odd,,,,,
n.v.invar,,,,,,,case.agn,,,cv.ques,,,,,
n.v.neg,,,,,,,cv.agn,,,cv.rung,,,,,
n.v.past,,,,,,,case.abl,,,cv.sem,,,,,
n.v.past.n.v.pres,,,,,,,case.ela,,,d.emph,,,,,
n.v.pres,,,,,,,cv.abl,,,d.indef,,,,,
n.v.neg,,,,,,,cv.ela,,,d.plural,,,,,
n.rel,,,,,,,,,,d.tsam,,,,,
,,,,,,,,,,neg,,,,,
,,,,,,,,,,p.interrog,,,,,
,,,,,,,,,,cv.are,,,,,
,,,,,,,,,,d.det,,,,,
,,,,,,,,,,cv.ass,,,,,